Class,Subclass,Subclass 2,Subclass 3,Property,Subproperty,Range,Notes
Resource,Annotation,--,,authorizedAccessPoint,,Literal,
Resource,Annotation,--,,identifier,,Identifier,
Resource,Annotation,--,,label,,Literal,
Resource,Annotation,--,,relatedTo,,URL,
Resource,Annotation,--,,annotates,,URL,
Resource,Annotation,--,,annotationAssertedBy,,Agent,
Resource,Annotation,--,,annotationBody,,URL,
Resource,Annotation,--,,annotationSource,,Agent,
Resource,Annotation,--,,assertionDate,,Literal,
Resource,Annotation,CoverArt,,authorizedAccessPoint,,Literal,
Resource,Annotation,CoverArt,,identifier,,Identifier,
Resource,Annotation,CoverArt,,label,,Literal,
Resource,Annotation,CoverArt,,relatedTo,,URL,
Resource,Annotation,CoverArt,,annotates,,URL,
Resource,Annotation,CoverArt,,annotates,coverArtFor,,
Resource,Annotation,CoverArt,,annotationAssertedBy,,Agent,
Resource,Annotation,CoverArt,,annotationBody,,URL,
Resource,Annotation,CoverArt,,annotationBody,coverArt,,
Resource,Annotation,CoverArt,,annotationBody,coverArtThumb,,
Resource,Annotation,CoverArt,,annotationSource,,Agent,
Resource,Annotation,CoverArt,,assertionDate,,Literal,
Resource,Annotation,HeldMaterial,,authorizedAccessPoint,,Literal,
Resource,Annotation,HeldMaterial,,identifier,,Identifier,
Resource,Annotation,HeldMaterial,,label,,Literal,
Resource,Annotation,HeldMaterial,,relatedTo,,URL,
Resource,Annotation,HeldMaterial,,annotates,,URL,
Resource,Annotation,HeldMaterial,,annotationAssertedBy,,Agent,
Resource,Annotation,HeldMaterial,,annotationBody,,URL,
Resource,Annotation,HeldMaterial,,annotationSource,,Agent,
Resource,Annotation,HeldMaterial,,assertionDate,,Literal,
Resource,Annotation,HeldMaterial,,accessCondition,,,Literal
Resource,Annotation,HeldMaterial,,electronicLocator,,,URL
Resource,Annotation,HeldMaterial,,enumerationAndChronology,,,Literal
Resource,Annotation,HeldMaterial,,heldBy,,,Agent
Resource,Annotation,HeldMaterial,,holdingFor,,annotates,Instance
Resource,Annotation,HeldMaterial,,lendingPolicy,,,Literal
Resource,Annotation,HeldMaterial,,reproductionPolicy,,,Literal
Resource,Annotation,HeldMaterial,,retentionPolicy,,,Literal
Resource,Annotation,HeldMaterial,,subLocation,,,
Resource,Annotation,HeldMaterial,HeldItem,authorizedAccessPoint,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,identifier,,Identifier,
Resource,Annotation,HeldMaterial,HeldItem,label,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,relatedTo,,URL,
Resource,Annotation,HeldMaterial,HeldItem,annotates,,URL,
Resource,Annotation,HeldMaterial,HeldItem,annotationAssertedBy,,Agent,
Resource,Annotation,HeldMaterial,HeldItem,annotationBody,,URL,
Resource,Annotation,HeldMaterial,HeldItem,annotationSource,,Agent,
Resource,Annotation,HeldMaterial,HeldItem,assertionDate,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,accessCondition,,,
Resource,Annotation,HeldMaterial,HeldItem,electronicLocator,,,
Resource,Annotation,HeldMaterial,HeldItem,enumerationAndChronology,,,
Resource,Annotation,HeldMaterial,HeldItem,heldBy,,,
Resource,Annotation,HeldMaterial,HeldItem,holdingFor,,,
Resource,Annotation,HeldMaterial,HeldItem,lendingPolicy,,,
Resource,Annotation,HeldMaterial,HeldItem,reproductionPolicy,,,
Resource,Annotation,HeldMaterial,HeldItem,retentionPolicy,,,
Resource,Annotation,HeldMaterial,HeldItem,subLocation,,,
Resource,Annotation,HeldMaterial,HeldItem,barcode,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,circulationStatus,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,componentOf,,HeldMaterial,
Resource,Annotation,HeldMaterial,HeldItem,copyNote,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,itemId,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,shelfMark,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,shelfMarkDdc,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,shelfMarkLcc,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,shelfMarkNlm,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,shelfMarkScheme,,Literal,
Resource,Annotation,HeldMaterial,HeldItem,shelfMarkUdc,,,
Resource,Annotation,Review,,,,,
Resource,Annotation,Summary,,,,,
Resource,Annotation,TableOfContents,,,,,
Resource,Arrangement,,,,,,
Resource,Authority,,,,,,
Resource,Category,,,,,,
Resource,Classification,,,,,,
Resource,DescriptionAdminInfo,,,,,,
Resource,Event,,,,,,
Resource,Identifier,,,,,,
Resource,Instance,,,,,,
Resource,IntendedAudience,,,,,,
Resource,Language,,,,,,
Resource,Provider,,,,,,
Resource,Related,,,,,,
Resource,Relator,,,,,,
Resource,Title,,,,,,
Resource,Work,,,,,,
